Date,Close,Adj Close,Volume,DGS10,VIXCLS
2022-04-04,135.91,121.37,"17,416,400",2.42,18.57
2022-04-05,133.34,119.96,"12,110,300",2.54,21.03
2022-04-06,131.49,118.3,"12,914,700",2.61,22.1
2022-04-07,131.09,117.94,"12,994,200",2.66,21.55
2022-04-08,133.49,120.1,"13,126,900",2.72,21.16
2022-04-11,133.0,119.66,"10,466,400",2.79,24.37
2022-04-12,131.54,118.34,"12,989,900",2.72,24.26
2022-04-13,127.3,114.53,"30,838,000",2.7,21.82
2022-04-14,126.12,113.47,"18,835,200",2.83,22.7
2022-04-18,128.46,115.57,"11,834,400",2.85,22.17
2022-04-19,131.12,117.96,"15,015,400",2.93,21.37
2022-04-20,131.58,118.38,"13,430,200",2.85,20.32
2022-04-21,130.56,117.46,"12,174,200",2.9,22.68
2022-04-22,126.81,114.09,"14,318,800",2.9,28.21
2022-04-25,126.77,114.05,"17,149,000",2.81,27.02
2022-04-26,123.02,110.68,"17,209,500",2.77,33.52
2022-04-27,121.42,109.24,"17,215,200",2.82,31.6
2022-04-28,123.34,110.96,"13,015,600",2.85,29.99
2022-04-29,119.36,107.38,"14,874,800",2.89,33.4
2022-05-02,120.45,108.36,"18,545,000",2.99,32.34
2022-05-03,123.03,110.69,"15,720,900",2.97,29.25
2022-05-04,127.1,114.35,"17,128,500",2.93,25.42
2022-05-05,123.92,111.49,"15,055,400",3.05,31.2
2022-05-06,123.72,111.31,"14,417,900",3.12,30.19
2022-05-09,121.86,109.63,"14,312,300",3.05,34.75
2022-05-10,118.89,106.96,"16,382,400",2.99,32.99
2022-05-11,118.14,106.29,"14,630,300",2.91,32.56
2022-05-12,118.04,106.2,"16,318,800",2.84,31.77
2022-05-13,119.09,107.14,"10,443,200",2.93,28.87
2022-05-16,118.26,106.39,"10,269,000",2.88,27.47
2022-05-17,122.18,109.92,"11,160,200",2.98,26.1
2022-05-18,120.09,108.04,"12,664,900",2.89,30.96
2022-05-19,118.31,106.44,"12,765,800",2.84,29.35
2022-05-20,117.34,105.57,"13,150,100",2.78,29.43
2022-05-23,124.6,112.1,"24,376,700",2.86,28.48
2022-05-24,126.36,113.68,"19,324,900",2.76,29.45
2022-05-25,127.24,114.47,"12,780,400",2.75,28.37
2022-05-26,129.44,116.45,"15,990,900",2.75,27.5
2022-05-27,131.27,118.1,"11,177,800",2.74,25.72
2022-05-31,132.23,118.96,"17,015,000",2.85,26.19
2022-06-01,129.91,116.88,"10,768,000",2.94,25.69
2022-06-02,132.0,118.76,"8,374,800",2.92,24.72
2022-06-03,130.16,117.1,"8,596,000",2.96,24.79
2022-06-06,129.73,116.71,"11,323,500",3.04,25.07
2022-06-07,130.07,117.02,"6,722,200",2.98,24.02
2022-06-08,128.0,115.16,"8,422,100",3.03,23.96
2022-06-09,125.31,112.74,"13,560,100",3.04,26.09
2022-06-10,119.55,107.55,"12,945,200",3.15,27.75
2022-06-13,115.99,104.35,"16,805,600",3.43,34.02
2022-06-14,114.06,102.62,"13,357,900",3.49,32.69
2022-06-15,115.41,103.83,"14,083,500",3.33,29.62
2022-06-16,113.43,102.05,"16,724,900",3.28,32.95
2022-06-17,113.03,101.69,"30,919,900",3.25,31.13
2022-06-21,115.83,104.21,"11,680,500",3.31,30.19
